"filename", "language", "C++", "JSON", "Makefile", "comment", "blank", "total"
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\END.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\EnterNumber.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Logic\AND-NOT.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Logic\AND.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Logic\EnterBoolean.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Logic\NOT.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Logic\OR-NOT.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Logic\OR.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Math\Multiplication.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\Math\Summary.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\OutputBlock.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Blocks\дуд.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Logic\files.json", "JSON", 0, 8, 0, 0, 0, 8
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\Makefile", "Makefile", 0, 0, 459, 7, 14, 480
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\SPARQL\files.json", "JSON", 0, 8, 0, 0, 0, 8
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\SPARQL\test(v0.1).json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_api.cpp", "C++", 114, 0, 0, 13, 18, 145
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_basedblockwindow.cpp", "C++", 136, 0, 0, 13, 18, 167
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_compositeblockwindow.cpp", "C++", 116, 0, 0, 10, 15, 141
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_diagramscene.cpp", "C++", 199, 0, 0, 16, 21, 236
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_diagramtextitem.cpp", "C++", 145, 0, 0, 12, 17, 174
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_diagramview.cpp", "C++", 125, 0, 0, 10, 15, 150
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_mainwindow.cpp", "C++", 276, 0, 0, 10, 15, 301
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_mynetwork.cpp", "C++", 137, 0, 0, 10, 15, 162
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_outputwidget.cpp", "C++", 127, 0, 0, 10, 15, 152
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_predefs.h", "C++", 408, 0, 0, 0, 1, 409
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\moc_sparqlblockwindow.cpp", "C++", 136, 0, 0, 13, 18, 167
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\debug\qrc_diagramscene.cpp", "C++", 18927, 0, 0, 102, 19, 19048
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\lol.json", "JSON", 0, 85, 0, 0, 1, 86
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\project.json", "JSON", 0, 68, 0, 0, 1, 69
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\test.json", "JSON", 0, 68, 0, 0, 1, 69
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\ui_basedblockwindow.h", "C++", 155, 0, 0, 7, 47, 209
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\ui_diagramview.h", "C++", 40, 0, 0, 7, 15, 62
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\ui_mainwindow.h", "C++", 43, 0, 0, 7, 13, 63
"c:\Temp\Study\6 semestr\Kurs\build-Kurs-GCC-Debug\ui_outputwidget.h", "C++", 100, 0, 0, 7, 25, 132
"Total", "-", 21184, 406, 459, 254, 317, 22620
