"filename", "language", "C++", "comment", "blank", "total"
"c:\Temp\Study\6 semestr\Kurs\Kurs\api.cpp", "C++", -2, 2, 0, 0
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramitem.h", "C++", 0, 2, 1, 3
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramitemcomposite.h", "C++", 2, -1, 1, 2
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramitemsparql.h", "C++", 0, 0, -1, -1
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramscene.cpp", "C++", 14, 4, 1, 19
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramsparqlatom.cpp", "C++", 1, 0, 1, 2
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramview.cpp", "C++", 1, 0, 0, 1
"c:\Temp\Study\6 semestr\Kurs\Kurs\mainwindow.cpp", "C++", 2, 0, -1, 1
"c:\Temp\Study\6 semestr\Kurs\Kurs\outputwidget.cpp", "C++", -34, 39, -5, 0
"c:\Temp\Study\6 semestr\Kurs\Kurs\sparqlblockwindow.cpp", "C++", 17, 0, 5, 22
"c:\Temp\Study\6 semestr\Kurs\Kurs\sparqlblockwindow.h", "C++", 3, 0, 0, 3
"Total", "-", 4, 46, 2, 52
